EmpID,EmpName,EmpTitle,EmpManager,EmpDept,FloorNum
1,Jake ,CEO,,CEO,6
2,Heather,Sales President,Jake ,Sales,4
3,Coco,Sales Manager,Heather,Sales,4
4,Glory,Sales Director,Heather,Sales,4
5,Larry,Sales Manager,Heather,Sales,4
6,Noah,Sales Associate Manager,Heather,Sales,4
7,Jacob,Marketing President,Jake ,Marketing,4
8,William,Market Strategy,Jacob,Marketing,4
9,Ethan,Marketing Director,Jacob,Marketing,4
10,Emma,Partner Relations,Jacob,Marketing,4
11,Oliva,Online Sales Director,Jacob,Marketing,4
12,Mia,Campaign Manager,Jacob,Marketing,4
13,Elsa,Chief Financial Officer,Jake ,Finance,5
14,Jekcey,Account Manager,Elsa,Finance,5
15,Ava,Cash Manager,Elsa,Finance,5
16,Abigail,Planning Manager,Elsa,Finance,5
17,Charlotte,Settlement Officer,Elsa,Finance,5
18,Daniel,CTO,Jake ,IT,3
19,William,Project Manager,Daniel,IT,3
20,James,Senior Engineer,Daniel,IT,3
21,Marcos,System Analyst,Daniel,IT,3
22,Isabella,System Engineer,Daniel,IT,3
23,Sophia,Web Designer,Daniel,IT,3
24,Andrew,Engineer,Daniel,IT,3
25,Grace,Software QA Engineer,Daniel,IT,3
26,Chole,Communications Engineer,Daniel,IT,3
27,Lillian,Test Engineer,Daniel,IT,3
28,John,Information Security Engineer,Daniel,IT,3
29,Lucas,Executive Assistant,Jake ,Assistant,6
30,John,Human Resources Director,Jake ,HR,5
31,Avery,Human Resources Manager,John,HR,5
32,Elizabeth,Recruiting Manager,John,HR,5
